nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:53:47 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:54:41 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:54:41 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:54:42 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/css/main.66753a51.css.map
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 5 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:56:10 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /morpheme
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/css/main.66753a51.css.map
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 9:56:13 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /static/css/main.66753a51.css
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 GET /static/css/main.66753a51.css.map
 HTTP  4/25/2024 9:56:21 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:05 AM 127.0.0.1 GET /
 HTTP  4/25/2024 9:58:05 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 9:58:06 AM 127.0.0.1 Returned 200 in 0 ms
